id,name_ja,name_en,name_zh_hant,name_zh_hans,name_th,name_ko,name_vi
154,佐久島,sakushima,佐久島,佐久岛,ซะคุชิม่า,사쿠시마,sakushima
155,岡崎,okazaki,岡崎,冈崎,โอคาซากิ,오카자키,okazaki
156,加賀,kaga,加賀,加贺,คากะ,카가,kaga
157,常滑,tokoname,常滑,常滑,โทโกนาเมะ,토코나메,tokoname
158,越後湯沢,yuzawa,越後湯澤,越后汤泽,เอจิโกะยูซาว่า,에치고유자와,yuzawa
159,福井,fukui,福井,福井,ฟุคุอิ,후쿠이,fukui
160,白馬,hakuba,白馬,白马,ฮาคุบะ,하쿠바,hakuba
161,伊豆,izu,伊豆,伊豆,อิสุ,이즈,izu
162,飛騨,hida,飛驒,飞驒,ฮิดะ,히다,hida
163,浜松,hamamatsu,濱松,滨松,ฮามะมัตสึ,하마마츠,hamamatsu
164,高山,takayama,高山,高山,ทาคายาม่า,타카야마,takayama
165,新潟,niigata,新潟,新潟,นีกาตะ,니가타,niigata
166,小布施,obuse,小布施,小布施,โอบุเสะ,오부세,obuse
167,熱海,atami,熱海,热海,อะตะมิ,아타미,atami
168,静岡,shizuoka,靜岡,静冈,ชิซูโอกะ,시즈오카,shizuoka
169,軽井沢,karuizawa,輕井澤,轻井泽,คารุอิซาว่า,카루이자와,karuizawa
170,金沢,kanazawa,金澤,金泽,คานาซาว่า,카나자와,kanazawa
171,名古屋,nagoya,名古屋,名古屋,นาโกย่า,나고야,nagoya
172,戸隠,togakushi,戶隱,户隐,โทกะคุชิ,토가쿠시,togakushi
173,愛知,aichi,愛知,爱知,ไอจิ,아이치,aichi
174,石川,ishikawa,石川,石川,อิชิคาว่า,이시카와,ishikawa
175,美濃,mino,美濃,美浓,มิโน,미노,mino
176,野沢,nozawa,野澤,野泽,โนซาว่า,노자와,nozawa
177,山梨,yamanashi,山梨,山梨,ยามานาชิ,야마나시,yamanashi
178,富山,toyama,富山,富山,โทยาม่า,토야마,toyama
179,御殿場,gotenba,御殿場,御殿场,โกะเทมบะ,고텐바,gotenba
180,掛塚,kaketsuka,掛塚,挂塚,คาเคสึกะ,카케츠카,kaketsuka
181,黒部立山,kurobe tateyama,黑部立山,黑部立山,คุโรเบะทาเทยามะ,쿠로베 타테야마,kurobe tateyama
182,大阪,osaka,大阪,大坂,โอซาก้า,오사카,osaka
183,嵐山,arashiyama,嵐山,岚山,อาราชิยามะ,아라시야마,arashiyama
184,梅田,umeda,梅田,梅田,อุเมดะ,우메다,umeda
185,宇治,uji,宇治,宇治,อุจิ,우지,uji
186,枚方,hirakata,枚方,枚方,ฮิราคาตะ,히라카타,hirakata
187,神戸,kobe,神戶,神户,โกเบ,코베,kobe
188,四条,shijo,四條,四条,ชิโจ,시죠,shijo
189,祇園,gion,祇園,祇园,กิอง,기온,gion
190,東山,higashiyama,東山,东山,โทซัน,히가시야마,higashiyama
191,烏丸,karasuma,烏丸,乌丸,คาราสุมะ,카라스마,karasuma
192,宮ノ下,miyanoshita,宮之下,宫之下,มิยะโนะชิตะ,미야노시타,miyanoshita
193,心斎橋,shinsaibashi,心齋橋,心斋桥,ชินไซบาชิ,신사이바시,shinsaibashi
194,伏見,fushimi,伏見,伏见,ฟูชิมิ,후시미,fushimi
195,鶴橋,tsuruhashi,鶴橋,鹤桥,สึรุฮาชิ,츠루하시,tsuruhashi
196,天王寺,tennoji,天王寺,天王寺,เทนโนจิ,텐노지,tennoji
197,鈴鹿,suzuka,鈴鹿,铃鹿,ซุซุกะ,스즈카,suzuka
198,阪神,hanshin,阪神,坂神,ฮันชิน,한신,hanshin
199,大谷,otani,大谷,大谷,โอทานิ,오타니,otani
200,嵯峨野,sagano,嵯峨野,嵯峨野,ซะกะโนะ,사가노,sagano
201,奈良,nara,奈良,奈良,นารา,나라,nara
202,近江八幡,omihachiman,近江八幡,近江八幡,โอะมิฮะชิมัง,오미하치만,omihachiman
203,姫路,himeji,姬路,姬路,ฮิเมจิ,히메지,himeji
204,三船,mifune,三船,三船,มิฟุเนะ,미후네,mifune
205,三重,mie,三重,三重,มิเอะ,미에,mie
206,兵庫,hyogo,兵庫,兵库,เฮียวโกะ,효고,hyogo
207,河原町,kawaramachi,河原町,河原町,คาวาระมาจิ,카와라마치,kawaramachi
208,伊根,ine,伊根,伊根,อิเนะ,이네,ine
209,西陣,nishijin,西陣,西阵,คิชิจิน,니시진,nishijin
210,二寧坂,ninenzaka,二寧坂,二宁坂,นิเนนซากะ,니넨자카,ninenzaka
211,京都,kyoto,京都,京都,เกียวโต,교토,kyoto
212,和歌山,wakayama,和歌山,和歌山,วากายาม่า,와카야마,wakayama
213,道頓堀,dotonbori,道頓堀,道顿堀,โดทงโบริ,도톤보리,dotonbori
214,難波,namba,難波,难波,นัมบะ,난바,namba
215,彦根,hikone,彥根,彦根,ฮิโคเนะ,히코네,hikone
216,広島,hiroshima,廣島,广岛,ฮิโรชิม่า,히로시마,hiroshima
217,倉敷,kurashiki,倉敷,仓敷,คุระชิคิ,쿠라시키,kurashiki
218,出雲,izumo,出雲,出云,อิซูโมะ,이즈모,izumo
219,男木島,ogijima,男木島,男木岛,เกาะโอกิจิม่า,오기지마,ogijima
220,尾道,onomichi,尾道,尾道,โอโนะมิจิ,오노미치,onomichi
221,今治,imabari,今治,今治,อิมะบะริ,이마바리,imabari
222,仙酔島,sensuijima,仙醉島,仙醉岛,เซนซุยจิม่า,센스이지마,sensuijima
223,竹原,takehara,竹原,竹原,ทะเคะฮาระ,타케하라,takehara
224,宮島,miyajima,宮島,宫岛,มิยาจิม่า,미야지마,miyajima
225,鳥取,tottori,鳥取,鸟取,ทตโตริ,돗토리,tottori
226,岡山,okayama,岡山,冈山,โอคายาม่า,오카야마,okayama
227,小豆島,shodoshima,小豆島,小豆岛,เกาะโชโดะชิมะ,쇼도시마,shodoshima
228,松山,matsuyama,松山,松山,มัตสึยามะ,마츠야마,matsuyama
229,徳島,tokushima,德島,德岛,โทคุชิม่า,도쿠시마,tokushima
230,高知,kochi,高知,高知,โคจิ,고치,kochi
231,愛媛,ehime,愛媛,爱媛,เอฮิเมะ,에히메,ehime
232,香川,kagawa,香川,香川,คากาว่า,가가와,kagawa
233,博多,hakata,博多,博多,ฮากาตะ,하카타,hakata
234,阿蘇,aso,阿蘇,阿苏,อะโซ,아소,aso
235,熊本,kumamoto,熊本,熊本,คุมาโมโตะ,구마모토,kumamoto
236,読谷村,yomitan,讀谷村,读谷村,หมู่บ้านโยมิตัน,요미탄,yomitan
237,国頭,kunigami,國頭,国头,คุนิกามิ,쿠니가미,kunigami
238,竹富島,taketomi island,竹富島,竹富岛,เกาะทะเคะโทมิ,타케토미지마,taketomi island
239,桜島,sakurajima,櫻島,樱岛,ซากุระจิมะ,사쿠라지마,sakurajima
240,北九州,kita kyushu,北九州,北九州,คิตะคิวชู,키타큐슈,kita kyushu
241,長崎,nagasaki,長崎,长崎,นางาซากิ,나가사키,nagasaki
242,那覇,naha,那霸,那霸,นะฮะ,나하,naha
243,石垣島,ishigaki island,石垣島,石垣岛,เกาะอิชิกะคิ,이시가키지마,ishigaki island
244,屋久島,yakushima,屋久島,屋久岛,เกาะยาคุชิม่า,야쿠시마,yakushima
245,大分,oita,大分,大分,โออิตะ,오이타,oita
246,別府,beppu,別府,别府,เบปปุ,벳푸,beppu
247,小倉,kokura,小倉,小仓,โคคุระ,코쿠라,kokura
248,西表島,iriomote-jima island,西表島,西表岛,เกาะอิริโอโมเตะจิม่า,이리오모테지마,iriomote-jima island
249,福岡,fukuoka,福岡,福冈,ฟุกุโอกะ,후쿠오카,fukuoka
250,奄美大島,amami oshima,奄美大島,奄美大岛,เกาะอะมะมิโอชิมะ,아마미오시마,amami oshima
251,指宿,ibusuki,指宿,指宿,อิบุสุคิ,이부스키,ibusuki
252,宮崎,miyazaki,宮崎,宫崎,มิยาซากิ,미야자키,miyazaki
253,宮古島,miyakojima,宮古島,宫古岛,มิยาโคะจิม่า,미야코지마,miyakojima
254,久米島,kumejima,久米島,久米岛,คุเมะจิม่า,쿠메지마,kumejima
255,慶良間諸島,kerama islands,慶良間諸島,庆良间诸岛,เกาะเครามะ,케라마 제도,kerama islands
256,小笠原群島,ogasawara islands,小笠原群島,小笠原群岛,หมู่เกาะโอกะซะวะระ,오가사와라 제도,ogasawara islands
257,工場,factory,,工厂,โรงงาน,공장,nhà máy
258,シュノーケリング,snorkeling,浮潛(シュノーケリング),浮潜(シュノーケリング),snorkeling,스노클링,lặn với ống thở
259,ビリヤード,billiards,,,บิลเลียด,당구,bi-da
260,ジョギング,jogging,,,จ๊อกกิ้ง,조깅,chạy bộ
261,フリートラベル,free exploration,,,เที่ยวอิสระ,자유 여행,khám phá tự do
262,美容サロン,beauty salon,美容院(美容サロン),美容沙龙,ซาลอนเสริมความงาม,뷰티 살롱,thẩm mỹ viện
263,絶景,gorgeous scenery,,,วิวทิวทัศน์,절경,phong cảnh tuyệt đẹp
264,滝,waterfalls,瀑布,瀑布,น้ำตก,폭포,thác nước
265,展望台,observatory,觀景台,观景台,จุดชมวิว,전망대,đài quan sát
266,登山,mountaineering,登山,登山,ปีนเขา,등산,leo núi
267,花見,hanami,賞花,赏花,ฮานามิ,꽃놀이,hanami (ngắm hoa)
268,能,noh,,能剧,ละครโน,노,(kịch) Noh
269,教会,church,教堂,教堂,โบสถ์,교회,nhà thờ
270,庭園,garden,庭園,庭园,สวน,정원,vườn
271,映画,theater,電影院,电影院,ภาพยนตร์,영화,rạp hát
272,演劇,plays,,,การแสดง,연극,những vở kịch
273,ナイトライフ,nightlife,夜生活,夜生活,เที่ยวกลางคืน,밤문화,cuộc sống về đêm
274,足湯,footbaths,足湯,足汤,ออนเซ็นเท้า,족욕탕,bồn ngâm chân
275,スパ,spa,SPA,SPA,สปา,스파,spa
276,神輿,mikoshi,,,เกี้ยวมิโคชิ,미코시,(kiệu) mikoshi
277,プール,pool,游泳池,游泳池,สระน้ำ,수영장,hồ bơi
278,屋形船,pleasure boat,,屋形船,เรือยะกะตะ,유람선,du thuyền giải trí
279,フルーツ狩り,fruit picking,,,เก็บผลไม้,과일 따기 체험,hái trái cây
280,日帰り旅行,day trip,一日遊,一日游,วันเดย์ทริป,당일치기 여행,chuyến đi trong ngày
281,露天風呂,open-air baths,露天溫泉,露天温泉,บ่อน้ำร้อนกลางแจ้ง,노천탕,phòng tắm ngoài trời
282,美容院,hair salon,美容院,美容院,ร้านเสริมสวย,미용실,tiệm làm tóc
283,野球観戦,watch baseball,,棒球赛,ชมการแข่งขันเบสบอล,야구 관전,xem bóng chày
284,ピクニック,picnic,,野餐,ปิคนิค,피크닉,đi chơi picnic
285,釣り,fishing,,钓鱼,ตกปลา,낚시,câu cá
286,道の駅,michi no eki,,,จุดแวะพักริมทาง,휴게소,trạm dừng chân
287,朝市,morning market,朝市,朝市,ตลาดเช้า,아침시장,chợ buổi sáng
288,イルミネーション,illuminations,燈飾,灯饰,อิลลูมิเนชั่น,일루미네이션,hoa đăng chiếu sáng
289,聖地巡礼,pilgrimage,聖地巡禮,圣地巡礼,ย้อนรอยสถานที่สำคัญจากภาพยนตร์,성지순례,đi hành hương
290,市場,market,市場,市场,ตลาด,시장,chợ
291,カラオケ,karaoke,KTV,KTV,คาราโอเกะ,노래방,karaoke
292,スキューバダイビング,scuba diving,浮潛(スキューバダイビング),浮潜(スキューバダイビング),ดำน้ำลึก,스쿠버다이빙,môn lặn
293,藤,wisteria,紫藤,紫藤,วิสทีเรีย,등나무,hoa Fuji (tử đằng)
294,キャンプ,camp,露營,露营,แคมป์,캠프,cắm trại
295,フェリー,ferry,,,เฟอร์รี่,페리,phà
296,星,stars,觀星,观星,ดวงดาว,별,những vì sao
297,ナイトスポット,night spots,,,ที่เที่ยวกลางคืน,야경 명소,những địa điểm ban đêm
298,料理教室,cooking class,,,เรียนทำอาหาร,요리 교실,lớp học nấu ăn
299,パワースポット,power spots,能量景點,能量景点,power spots,파워스폿,các điểm (tham quan) năng lượng
300,公園,parks,公園,公园,สวนสาธารณะ,공원,những công viên
301,歌舞伎,kabuki,歌舞伎,歌舞伎,คาบุกิ,가부키,Kịch kabuki (ca vũ kỹ)
302,動物園,zoo,動物園,动物园,สวนสัตว์,동물원,sở thú
303,スキー,ski,滑雪,滑雪,สกี,스키,trượt tuyết
304,スノーボード,snowboard,,滑雪板,สโนว์บอร์ด,스노우보드,ván trượt tuyết
305,浮世絵,ukiyoe,浮世繪,浮世绘,ukiyoe,우키요에,tranh phù thế
306,ラフティング,rafting,泛舟,泛舟,ล่องแพ,래프팅,đi bè
307,ハイキング,hiking,健行,健行,,하이킹,đi bộ đường dài
308,書道,calligraphy,,书法,ศิลปะเขียนพู่กัน,서예,thư pháp
309,ウォーキング,walking,,,เดินเท้า,워킹,đi dạo
310,建築,architecture,建築,建筑,สถาปัตยกรรม,건축,kiến trúc
311,夜景,night view,夜景,夜景,วิวกลางคืน,야경,cảnh đêm
312,紅葉,autumn leaves,楓葉,枫叶,ใบไม้เปลี่ยนสี,단풍,lá mùa thu
313,伝統工芸,traditional crafts,傳統工藝,传统工艺,หัตถกรรมพื้นบ้าน,전통공예,nghề thủ công truyền thống
314,クルーズ,cruise,遊船,游船,เรือสำราญ,크루즈,du thuyền
315,相撲,sumo,相撲,相扑,ซูโม่,스모,sumo
316,水族館,aquarium,水族館,水族馆,พิพิธภัณฑ์สัตว์น้ำ,수족관,thủy cung
317,スポーツ,sports,運動,运动,กีฬา,스포츠,các môn thể thao
318,遊園地,amusement park,遊樂園,游乐园,สวนสนุก,유원지,công viên giải trí
319,城,castle,城堡,城堡,ปราสาท,성,lâu đài
320,アニメ,anime,,动画,อนิเมะ,애니메이션,phim hoạt hình (anime)
321,世界遺産,world heritage site,世界遺產,世界遗产,มรดกโลก,세계 유산,di sản thế giới
322,サイクリング,cycling,自行車(サイクリング),自行车(サイクリング),ปั่นจักรยาน,사이클링,đạp xe
323,銭湯,sento,錢湯,钱汤,โรงอาบน้ำ,공중 목욕탕,nhà tắm công cộng (sento)
324,コンセプトカフェ,themed cafe,主題咖啡,主题咖啡,คาเฟ่ธีม,컨셉 카페,quán cà phê theo chủ đề
325,寺,temple,寺廟,寺庙,วัด,절,ngôi đền
326,神社,shrine,神社,神社,ศาลเจ้า,신사,"điện, miếu thờ"
327,座禅,meditation,,,นั่งสมาธิ,좌선,sự thiền định
328,温泉,hot spring,溫泉,温泉,ออนเซ็น,온천,suối nước nóng
329,忍者,ninja,忍者,忍者,นินจา,닌자,ninja
330,着物,kimono,和服(着物),和服(着物),กิโมโน,기모노,kimono
331,スタジアム,stadium,,,สนามกีฬา,경기장,sân vận động
332,古い町並み,retro townscape,,,เมืองเก่า,옛 거리,cảnh quan hoài cổ của thị trấn
333,池,lake,,,บ่อน้ำ,연못,hồ
334,沼,marsh,,,บึง,늪,đầm lầy
335,海,sea,海景,海景,ทะเล,바다,biển
336,プラネタリウム,planetarium,,,ท้องฟ้าจำลอง,플라네타리움,trạm thiên văn
337,博物館,museum,博物館,博物馆,พิพิธภัณฑ์,박물관,viện bảo tàng
338,牧場,farm,牧場,牧场,ฟาร์ม,목장,nông trại
339,湖,,湖,湖,ทะเลสาบ,호수,
